S1_1_3_ID,S1_1_3_S1_F1_RA,S1_1_3_S1_F1_DEC,S1_1_3_S1_F1_MAG1_1,S1_1_3_S1_F1_ERR1_1,S1_1_3_S1_F3_ID,S1_1_3_S1_F3_RA,S1_1_3_S1_F3_DEC,S1_1_3_S1_F3_MAG1_3,S1_1_3_S1_F3_ERR1_3,S1_1_3_Separation_S1_F3_S1_F1,S1_1_3_Separation_max,S1_1_3_ncat,S1_1_3_dist_bayesfactor,S1_1_3_dist_post,S1_1_3_p_single,S1_1_3_p_any,S1_1_3_p_i,S1_1_3_match_flag,S1_1_3_asn,S1_1_3_RA,S1_1_3_DEC,S1_F4_ID,S1_F4_RA,S1_F4_DEC,S1_F4_MAG1_4,S1_F4_ERR1_4,Separation_S1_F4_S1_1_3,Separation_max,ncat,dist_bayesfactor,dist_post,p_single,p_any,p_i,match_flag
'1',10.60573757,40.8624973,17.52850491,0.0556,'1646',10.60563612,40.86244107,17.95750491,0.0519,0.3424452,0.3424452,2,11.708483,0.94459933,0.94459933,0.94459933,1,1,2,10.605686845,40.862469185,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9681216,0,0
'1',10.60573757,40.8624973,17.52850491,0.0556,'1646',10.60563612,40.86244107,17.95750491,0.0519,0.3424452,0.3424452,2,11.708483,0.94459933,0.94459933,0.94459933,1,1,2,10.605686845,40.862469185,'4044',10.60565694,40.86250859,17.45050491,0.0731,0.16356307,0.16356307,2,11.954174,0.9681216,0.9681216,0.9681216,1,1
'3',10.62889238,40.81041431,17.55350491,0.0682,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.62889238,40.81041431,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9350513,0,0
'3',10.62889238,40.81041431,17.55350491,0.0682,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.62889238,40.81041431,'1620',10.6287572,40.81038583,17.43450491,0.0648,0.3823359,0.3823359,2,11.630006,0.9350513,0.9350513,0.9350513,1,1
'4',10.63474437,40.80952701,17.83750491,0.0578,'2198',10.63477422,40.80952861,17.47950491,0.0543,0.081538714,0.081538714,2,12.008744,0.9714614,0.9714614,0.9714614,1,1,2,10.634759295,40.80952781,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.94999576,0,0
'4',10.63474437,40.80952701,17.83750491,0.0578,'2198',10.63477422,40.80952861,17.47950491,0.0543,0.081538714,0.081538714,2,12.008744,0.9714614,0.9714614,0.9714614,1,1,2,10.634759295,40.80952781,'11023',10.63465842,40.8094828,17.44350491,0.0611,0.3190698,0.3190698,2,11.750455,0.94999576,0.94999576,0.94999576,1,1
'5',10.67779713,40.76106935,16.57750491,0.037,'788',10.67780252,40.76104142,16.52350491,0.031,0.101616494,0.101616494,2,11.998762,0.97081727,0.97081727,0.97081727,1,1,2,10.677799825,40.761055385,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9633556,0,0
'5',10.67779713,40.76106935,16.57750491,0.037,'788',10.67780252,40.76104142,16.52350491,0.031,0.101616494,0.101616494,2,11.998762,0.97081727,0.97081727,0.97081727,1,1,2,10.677799825,40.761055385,'2424',10.67773004,40.76108781,16.54550491,0.0308,0.22323875,0.22323875,2,11.89152,0.9633556,0.9633556,0.9633556,1,1
'7',10.62339488,40.83901281,15.82750491,0.0193,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.62339488,40.83901281,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9684012,0,0
'7',10.62339488,40.83901281,15.82750491,0.0193,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.62339488,40.83901281,'5103',10.62333663,40.83901595,16.16350491,0.0301,0.15905073,0.15905073,2,11.958125,0.9684012,0.9684012,0.9684012,1,1
'8',10.5987445,40.87681039,16.89650491,0.0446,'373',10.59869237,40.87683363,16.93250491,0.048,0.1647272,0.1647272,2,11.953136,0.96768904,0.96768904,0.96768904,1,1,2,10.598718435,40.87682201,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.97081816,0,0
'8',10.5987445,40.87681039,16.89650491,0.0446,'373',10.59869237,40.87683363,16.93250491,0.048,0.1647272,0.1647272,2,11.953136,0.96768904,0.96768904,0.96768904,1,1,2,10.598718435,40.87682201,'2097',10.59867896,40.87682893,16.77250491,0.0488,0.110302,0.110302,2,11.993766,0.97081816,0.97081816,0.97081816,1,1
'10',10.69322223,40.78643351,15.94250491,0.0218,'2692',10.6931649,40.78640831,15.97650491,0.0273,0.1806914,0.1806914,2,11.938169,0.9665939,0.9665939,0.9665939,1,1,2,10.693193565,40.78642091,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9426241,0,0
'10',10.69322223,40.78643351,15.94250491,0.0218,'2692',10.6931649,40.78640831,15.97650491,0.0273,0.1806914,0.1806914,2,11.938169,0.9665939,0.9665939,0.9665939,1,1,2,10.693193565,40.78642091,'1740',10.69306887,40.78644803,16.03350491,0.0332,0.35363048,0.35363048,2,11.687349,0.9426241,0.9426241,0.9426241,1,1
'13',10.69142492,40.91351227,17.13150491,0.0513,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.69142492,40.91351227,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9642311,0,0
'13',10.69142492,40.91351227,17.13150491,0.0513,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.69142492,40.91351227,'1181',10.69136772,40.91347144,17.14050491,0.0522,0.21405855,0.21405855,2,11.902416,0.9642311,0.9642311,0.9642311,1,1
'14',10.71407247,40.76424689,18.91450491,0.1184,'1817',10.71416017,40.76420113,18.56150491,0.09,0.2903787,0.2903787,2,11.797917,0.95444024,0.95444024,0.95444024,1,1,2,10.71411632,40.76422401,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.92618173,0,0
'14',10.71407247,40.76424689,18.91450491,0.1184,'1817',10.71416017,40.76420113,18.56150491,0.09,0.2903787,0.2903787,2,11.797917,0.95444024,0.95444024,0.95444024,1,1,2,10.71411632,40.76422401,'982',10.71397902,40.7641775,18.76950491,0.0875,0.41010627,0.41010627,2,11.570273,0.92618173,0.92618173,0.92618173,1,1
'15',10.67932062,40.80618119,17.61950491,0.0754,'912',10.67916887,40.80620369,17.58150491,0.0626,0.42136648,0.42136648,2,11.54486,0.92124707,0.92124707,0.92124707,1,1,2,10.679244745,40.80619244,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.96196,0,0
'15',10.67932062,40.80618119,17.61950491,0.0754,'912',10.67916887,40.80620369,17.58150491,0.0626,0.42136648,0.42136648,2,11.54486,0.92124707,0.92124707,0.92124707,1,1,2,10.679244745,40.80619244,'5719',10.67915737,40.80619676,17.64550491,0.0806,0.23859796,0.23859796,2,11.872266,0.96175796,0.96175796,0.96196,0.9945073,1
'15',10.67932062,40.80618119,17.61950491,0.0754,'912',10.67916887,40.80620369,17.58150491,0.0626,0.42136648,0.42136648,2,11.54486,0.92124707,0.92124707,0.92124707,1,1,2,10.679244745,40.80619244,'10361',10.6790404,40.80640375,19.35650491,0.3181,0.9427313,0.9427313,2,9.614441,0.12195926,0.12195926,0.96196,0.0054926677,0
'16',10.67071124,40.81756706,16.16450491,0.0166,'4379',10.67067435,40.81751634,16.13750491,0.0333,0.20842546,0.20842546,2,11.908876,0.96434605,0.96434605,0.96434605,1,1,2,10.670692795,40.8175417,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'17',10.72413212,40.75210188,17.98150491,0.066,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.72413212,40.75210188,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.78501695,0,0
'17',10.72413212,40.75210188,17.98150491,0.066,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.72413212,40.75210188,'4563',10.72391504,40.75206763,17.91650491,0.0651,0.60471314,0.60471314,2,11.034216,0.78501695,0.78501695,0.78501695,1,1
'18',10.70625355,40.78846384,17.64350491,0.0411,'1054',10.70620256,40.78845304,17.70050491,0.0532,0.1443171,0.1443171,2,11.970258,0.9688992,0.9688992,0.9688992,1,1,2,10.706228055,40.78845844,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'19',10.70585023,40.81902227,17.29850491,0.0558,'2836',10.70575598,40.81902187,17.50050491,0.0458,0.25677884,0.25677884,2,11.847819,0.95918375,0.95918375,0.95918375,1,1,2,10.705803105,40.81902207,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
