S1_1_3_ID,S1_1_3_S1_F1_RA,S1_1_3_S1_F1_DEC,S1_1_3_S1_F1_MAG1_1,S1_1_3_S1_F1_ERR1_1,S1_1_3_S1_F3_ID,S1_1_3_S1_F3_RA,S1_1_3_S1_F3_DEC,S1_1_3_S1_F3_MAG1_3,S1_1_3_S1_F3_ERR1_3,S1_1_3_Separation_S1_F3_S1_F1,S1_1_3_Separation_max,S1_1_3_ncat,S1_1_3_dist_bayesfactor,S1_1_3_dist_post,S1_1_3_p_single,S1_1_3_p_any,S1_1_3_p_i,S1_1_3_match_flag,S1_1_3_asn,S1_1_3_RA,S1_1_3_DEC,S1_F4_ID,S1_F4_RA,S1_F4_DEC,S1_F4_MAG1_4,S1_F4_ERR1_4,Separation_S1_F4_S1_1_3,Separation_max,ncat,dist_bayesfactor,dist_post,p_single,p_any,p_i,match_flag
'1',10.60573757,40.8624973,17.52850491,0.0556,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.60573757,40.8624973,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'3',10.62889238,40.81041431,17.55350491,0.0682,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.62889238,40.81041431,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'4',10.63474437,40.80952701,17.83750491,0.0578,'2198',10.63477422,40.80952861,17.47950491,0.0543,0.081538714,0.081538714,2,12.556664,0.99174935,0.99174935,0.99174935,1,1,2,10.634759295,40.80952781,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'5',10.67779713,40.76106935,16.57750491,0.037,'788',10.67780252,40.76104142,16.52350491,0.031,0.101616494,0.101616494,2,12.516738,0.9909621,0.9909621,0.9909621,1,1,2,10.677799825,40.761055385,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'7',10.62339488,40.83901281,15.82750491,0.0193,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.62339488,40.83901281,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.9870612,0,0
'7',10.62339488,40.83901281,15.82750491,0.0193,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.62339488,40.83901281,'5103',10.62333663,40.83901595,16.16350491,0.0301,0.15905073,0.15905073,2,12.35419,0.9870612,0.9870612,0.9870612,1,1
'8',10.5987445,40.87681039,16.89650491,0.0446,'373',10.59869237,40.87683363,16.93250491,0.048,0.1647272,0.1647272,2,12.334235,0.98630613,0.98630613,0.98630613,1,1,2,10.598718435,40.87682201,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0.990648,0,0
'8',10.5987445,40.87681039,16.89650491,0.0446,'373',10.59869237,40.87683363,16.93250491,0.048,0.1647272,0.1647272,2,12.334235,0.98630613,0.98630613,0.98630613,1,1,2,10.598718435,40.87682201,'2097',10.59867896,40.87682893,16.77250491,0.0488,0.110302,0.110302,2,12.496754,0.990648,0.990648,0.990648,1,1
'10',10.69322223,40.78643351,15.94250491,0.0218,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.69322223,40.78643351,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'13',10.69142492,40.91351227,17.13150491,0.0513,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.69142492,40.91351227,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
