S1_1_3_4_ID,S1_1_3_4_S1_1_3_S1_F1_RA,S1_1_3_4_S1_1_3_S1_F1_DEC,S1_1_3_4_S1_1_3_S1_F1_MAG1_1,S1_1_3_4_S1_1_3_S1_F1_ERR1_1,S1_1_3_4_S1_1_3_S1_F3_ID,S1_1_3_4_S1_1_3_S1_F3_RA,S1_1_3_4_S1_1_3_S1_F3_DEC,S1_1_3_4_S1_1_3_S1_F3_MAG1_3,S1_1_3_4_S1_1_3_S1_F3_ERR1_3,S1_1_3_4_S1_1_3_Separation_S1_F3_S1_F1,S1_1_3_4_S1_1_3_Separation_max,S1_1_3_4_S1_1_3_ncat,S1_1_3_4_S1_1_3_dist_bayesfactor,S1_1_3_4_S1_1_3_dist_post,S1_1_3_4_S1_1_3_p_single,S1_1_3_4_S1_1_3_p_any,S1_1_3_4_S1_1_3_p_i,S1_1_3_4_S1_1_3_match_flag,S1_1_3_4_S1_1_3_asn,S1_1_3_4_S1_1_3_RA,S1_1_3_4_S1_1_3_DEC,S1_1_3_4_S1_F4_ID,S1_1_3_4_S1_F4_RA,S1_1_3_4_S1_F4_DEC,S1_1_3_4_S1_F4_MAG1_4,S1_1_3_4_S1_F4_ERR1_4,S1_1_3_4_Separation_S1_F4_S1_1_3,S1_1_3_4_Separation_max,S1_1_3_4_ncat,S1_1_3_4_dist_bayesfactor,S1_1_3_4_dist_post,S1_1_3_4_p_single,S1_1_3_4_p_any,S1_1_3_4_p_i,S1_1_3_4_match_flag,S1_1_3_4_asn,S1_1_3_4_RA,S1_1_3_4_DEC,S2_1_3_4_ID,S2_1_3_4_S2_1_3_S2_F1_RA,S2_1_3_4_S2_1_3_S2_F1_DEC,S2_1_3_4_S2_1_3_S2_F1_MAG2_1,S2_1_3_4_S2_1_3_S2_F1_ERR2_1,S2_1_3_4_S2_1_3_S2_F3_ID,S2_1_3_4_S2_1_3_S2_F3_RA,S2_1_3_4_S2_1_3_S2_F3_DEC,S2_1_3_4_S2_1_3_S2_F3_MAG2_3,S2_1_3_4_S2_1_3_S2_F3_ERR2_3,S2_1_3_4_S2_1_3_Separation_S2_F3_S2_F1,S2_1_3_4_S2_1_3_Separation_max,S2_1_3_4_S2_1_3_ncat,S2_1_3_4_S2_1_3_dist_bayesfactor,S2_1_3_4_S2_1_3_dist_post,S2_1_3_4_S2_1_3_p_single,S2_1_3_4_S2_1_3_p_any,S2_1_3_4_S2_1_3_p_i,S2_1_3_4_S2_1_3_match_flag,S2_1_3_4_S2_1_3_asn,S2_1_3_4_S2_1_3_RA,S2_1_3_4_S2_1_3_DEC,S2_1_3_4_S2_F4_ID,S2_1_3_4_S2_F4_RA,S2_1_3_4_S2_F4_DEC,S2_1_3_4_S2_F4_MAG2_4,S2_1_3_4_S2_F4_ERR2_4,S2_1_3_4_Separation_S2_F4_S2_1_3,S2_1_3_4_Separation_max,S2_1_3_4_ncat,S2_1_3_4_dist_bayesfactor,S2_1_3_4_dist_post,S2_1_3_4_p_single,S2_1_3_4_p_any,S2_1_3_4_p_i,S2_1_3_4_match_flag,S2_1_3_4_asn,S2_1_3_4_RA,S2_1_3_4_DEC,Separation_S2_1_3_4_S1_1_3_4,Separation_max,ncat,dist_bayesfactor,dist_post,p_single,p_any,p_i,match_flag
'4',10.63474437,40.80952701,17.83750491,0.0578,'2198',10.63477422,40.80952861,17.47950491,0.0543,0.081538714,0.081538714,2,12.556664,0.99174935,0.99174935,0.99174935,1,1,2,10.634759295,40.80952781,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,2,10.634759295,40.80952781,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'5',10.67779713,40.76106935,16.57750491,0.037,'788',10.67780252,40.76104142,16.52350491,0.031,0.101616494,0.101616494,2,12.516738,0.9909621,0.9909621,0.9909621,1,1,2,10.677799825,40.761055385,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,2,10.677799825,40.761055385,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'7',10.62339488,40.83901281,15.82750491,0.0193,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.62339488,40.83901281,'5103',10.62333663,40.83901595,16.16350491,0.0301,0.15905073,0.15905073,2,12.35419,0.9870612,0.9870612,0.9870612,1,1,2,10.623365755,40.83901438,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'8',10.5987445,40.87681039,16.89650491,0.0446,'373',10.59869237,40.87683363,16.93250491,0.048,0.1647272,0.1647272,2,12.334235,0.98630613,0.98630613,0.98630613,1,1,2,10.598718435,40.87682201,'2097',10.59867896,40.87682893,16.77250491,0.0488,0.110302,0.110302,2,12.496754,0.990648,0.990648,0.990648,1,1,3,10.5987052766667,40.8768243166667,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'18',10.70625355,40.78846384,17.64350491,0.0411,'1054',10.70620256,40.78845304,17.70050491,0.0532,0.1443171,0.1443171,2,12.4027195,0.9882804,0.9882804,0.9882804,1,1,2,10.706228055,40.78845844,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,2,10.706228055,40.78845844,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'25',10.71092952,40.83074889,17.72950491,0.0834,'1847',10.71097338,40.83073305,17.74950491,0.0761,0.13238235,0.13238235,2,12.438574,0.9891991,0.9891991,0.9891991,1,1,2,10.71095145,40.83074097,'5953',10.71099841,40.83073814,17.73750491,0.0961,0.12832035,0.12832035,2,12.450071,0.98959774,0.98959774,0.98959774,1,1,3,10.7109671033333,40.8307400266667,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'27',10.71648552,40.83392331,15.42150491,0.0194,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,1,10.71648552,40.83392331,'1093',10.71643819,40.83388688,15.49050491,0.0192,0.18390048,0.18390048,2,12.261661,0.9840378,0.9840378,0.9840378,1,1,2,10.716461855,40.833905095,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'29',10.7423656,40.83187596,17.94750491,0.0933,'10372',10.74239459,40.83189019,18.44450491,0.1049,0.09412646,0.09412646,2,12.532657,0.9912845,0.9912845,0.9912845,1,1,2,10.742380095,40.831883075,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,2,10.742380095,40.831883075,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'30',10.7377485,40.81020585,18.34550491,0.0555,'252',10.73773277,40.81019117,18.40150491,0.0484,0.068043634,0.068043634,2,12.578582,0.9921522,0.9921522,0.9921522,1,1,2,10.737740635,40.81019851,'-99',-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1,2,10.737740635,40.81019851,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
'32',10.72144015,40.8324167,15.96350491,0.0338,'4728',10.72139349,40.83240015,16.19150491,0.0298,0.14036699,0.14036699,2,12.414928,0.9886016,0.9886016,0.9886016,1,1,2,10.72141682,40.832408425,'4750',10.72136601,40.83243224,16.28850491,0.0379,0.16280222,0.16280222,2,12.341081,0.98666996,0.98666996,0.98666996,1,1,3,10.7213998833333,40.8324163633333,'-99',-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,'-99',-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,nan,0,1,0,1,1,0,0,1
