S1_1_3_4_ID,S1_1_3_4_S1_1_3_S1_F1_RA,S1_1_3_4_S1_1_3_S1_F1_DEC,S1_1_3_4_S1_1_3_S1_F1_MAG1_1,S1_1_3_4_S1_1_3_S1_F1_ERR1_1,S1_1_3_4_S1_1_3_S1_F3_ID,S1_1_3_4_S1_1_3_S1_F3_RA,S1_1_3_4_S1_1_3_S1_F3_DEC,S1_1_3_4_S1_1_3_S1_F3_MAG1_3,S1_1_3_4_S1_1_3_S1_F3_ERR1_3,S1_1_3_4_S1_1_3_Separation_S1_F3_S1_F1,S1_1_3_4_S1_1_3_Separation_max,S1_1_3_4_S1_1_3_ncat,S1_1_3_4_S1_1_3_dist_bayesfactor,S1_1_3_4_S1_1_3_dist_post,S1_1_3_4_S1_1_3_p_single,S1_1_3_4_S1_1_3_p_any,S1_1_3_4_S1_1_3_p_i,S1_1_3_4_S1_1_3_match_flag,S1_1_3_4_S1_1_3_asn,S1_1_3_4_S1_1_3_RA,S1_1_3_4_S1_1_3_DEC,S1_1_3_4_S1_F4_ID,S1_1_3_4_S1_F4_RA,S1_1_3_4_S1_F4_DEC,S1_1_3_4_S1_F4_MAG1_4,S1_1_3_4_S1_F4_ERR1_4,S1_1_3_4_Separation_S1_F4_S1_1_3,S1_1_3_4_Separation_max,S1_1_3_4_ncat,S1_1_3_4_dist_bayesfactor,S1_1_3_4_dist_post,S1_1_3_4_p_single,S1_1_3_4_p_any,S1_1_3_4_p_i,S1_1_3_4_match_flag,S1_1_3_4_asn,S1_1_3_4_RA,S1_1_3_4_DEC,S2_1_3_4_ID,S2_1_3_4_S2_1_3_S2_F1_RA,S2_1_3_4_S2_1_3_S2_F1_DEC,S2_1_3_4_S2_1_3_S2_F1_MAG2_1,S2_1_3_4_S2_1_3_S2_F1_ERR2_1,S2_1_3_4_S2_1_3_S2_F3_ID,S2_1_3_4_S2_1_3_S2_F3_RA,S2_1_3_4_S2_1_3_S2_F3_DEC,S2_1_3_4_S2_1_3_S2_F3_MAG2_3,S2_1_3_4_S2_1_3_S2_F3_ERR2_3,S2_1_3_4_S2_1_3_Separation_S2_F3_S2_F1,S2_1_3_4_S2_1_3_Separation_max,S2_1_3_4_S2_1_3_ncat,S2_1_3_4_S2_1_3_dist_bayesfactor,S2_1_3_4_S2_1_3_dist_post,S2_1_3_4_S2_1_3_p_single,S2_1_3_4_S2_1_3_p_any,S2_1_3_4_S2_1_3_p_i,S2_1_3_4_S2_1_3_match_flag,S2_1_3_4_S2_1_3_asn,S2_1_3_4_S2_1_3_RA,S2_1_3_4_S2_1_3_DEC,S2_1_3_4_S2_F4_ID,S2_1_3_4_S2_F4_RA,S2_1_3_4_S2_F4_DEC,S2_1_3_4_S2_F4_MAG2_4,S2_1_3_4_S2_F4_ERR2_4,S2_1_3_4_Separation_S2_F4_S2_1_3,S2_1_3_4_Separation_max,S2_1_3_4_ncat,S2_1_3_4_dist_bayesfactor,S2_1_3_4_dist_post,S2_1_3_4_p_single,S2_1_3_4_p_any,S2_1_3_4_p_i,S2_1_3_4_match_flag,S2_1_3_4_asn,S2_1_3_4_RA,S2_1_3_4_DEC,Separation_S2_1_3_4_S1_1_3_4,Separation_max,ncat,dist_bayesfactor,dist_post,p_single,p_any,p_i,match_flag,total_asn,mean_RA,mean_DEC
1,10.60573757,40.8624973,17.52850491,0.0556,1646,10.60563612,40.86244107,17.95750491,0.0519,0.3424452,0.3424452,2,11.708483,0.94459933,0.94459933,0.94459933,1.0,1,2,10.605686845,40.862469185,4044,10.60565694,40.86250859,17.45050491,0.0731,0.16356307,0.16356307,2,11.954174,0.9681216,0.9681216,0.9681216,1.0,1,3,10.6056768766667,40.86248232,8589,10.60579079,40.86263217,17.95555224,0.0851,336,10.60573609,40.86260594,18.27255224,0.1007,0.17634009,0.17634009,2,11.942386,0.9644841,0.9644841,0.9644841,1.0,1,2,10.60576344,40.862619055,10831,10.60562582,40.86254713,18.77055224,0.118,0.4554494,0.4554494,2,11.463743,0.9000435,0.9000435,0.93720776,0.6032849,1,3,10.6057175666667,40.86259508,0.42078134,0.42078134,2,11.546198,0.9246369,0.9246369,0.9246369,1.0,1,6,10.605697221666698,40.8625387
7,10.62339488,40.83901281,15.82750491,0.0193,-99,-99.0,-99.0,-99.0,-99.0,nan,0.0,1,0.0,1.0,1.0,0.0,0.0,1,1,10.62339488,40.83901281,5103,10.62333663,40.83901595,16.16350491,0.0301,0.15905073,0.15905073,2,11.958125,0.9684012,0.9684012,0.9684012,1.0,1,2,10.623365755,40.83901438,8632,10.62326363,40.83898818,17.92955224,0.1202,9338,10.62321573,40.83900647,17.75755224,0.086,0.1461339,0.1461339,2,11.968825,0.9665115,0.9665115,0.9665115,1.0,1,2,10.62323968,40.838997325,1672,10.62322659,40.83903141,16.65355224,0.0576,0.12778029,0.12778029,2,11.982471,0.9674575,0.9674575,0.9674575,1.0,1,3,10.6232353166667,40.8390086866667,0.35584998,0.35584998,2,11.683076,0.9438667,0.9438667,0.9438667,1.0,1,5,10.62330053583335,40.83901153333335
8,10.5987445,40.87681039,16.89650491,0.0446,373,10.59869237,40.87683363,16.93250491,0.048,0.1647272,0.1647272,2,11.953136,0.96768904,0.96768904,0.96768904,1.0,1,2,10.598718435,40.87682201,2097,10.59867896,40.87682893,16.77250491,0.0488,0.110302,0.110302,2,11.993766,0.97081816,0.97081816,0.97081816,1.0,1,3,10.5987052766667,40.8768243166667,3252,10.59870879,40.87689628,17.22155224,0.0456,-99,-99.0,-99.0,-99.0,-99.0,nan,0.0,1,0.0,1.0,1.0,0.0,0.0,1,1,10.59870879,40.87689628,11700,10.59859733,40.87691832,18.28955224,0.1229,0.3136,0.3136,2,11.759849,0.9468245,0.9468245,0.9468245,1.0,1,2,10.59865306,40.8769073,0.33082917,0.33082917,2,11.729712,0.9492923,0.9492923,0.9492923,1.0,1,5,10.59867916833335,40.87686580833335
13,10.69142492,40.91351227,17.13150491,0.0513,-99,-99.0,-99.0,-99.0,-99.0,nan,0.0,1,0.0,1.0,1.0,0.0,0.0,1,1,10.69142492,40.91351227,1181,10.69136772,40.91347144,17.14050491,0.0522,0.21405855,0.21405855,2,11.902416,0.9642311,0.9642311,0.9642311,1.0,1,2,10.69139632,40.913491855,5231,10.69147417,40.91352131,17.35855224,0.0742,-99,-99.0,-99.0,-99.0,-99.0,nan,0.0,1,0.0,1.0,1.0,0.0,0.0,1,1,10.69147417,40.91352131,2269,10.69132244,40.9134882,17.36655224,0.069,0.42964908,0.42964908,2,11.525727,0.9121707,0.9121707,0.9121707,1.0,1,2,10.691398305,40.913504755,0.046752926,0.046752926,2,12.020857,0.9734037,0.9734037,0.9734037,1.0,1,4,10.691397312500001,40.913498305
16,10.67071124,40.81756706,16.16450491,0.0166,4379,10.67067435,40.81751634,16.13750491,0.0333,0.20842546,0.20842546,2,11.908876,0.96434605,0.96434605,0.96434605,1.0,1,2,10.670692795,40.8175417,-99,-99.0,-99.0,-99.0,-99.0,nan,0.0,1,0.0,1.0,1.0,0.0,0.0,1,2,10.670692795,40.8175417,8901,10.67065121,40.81758362,18.46355224,0.1303,-99,-99.0,-99.0,-99.0,-99.0,nan,0.0,1,0.0,1.0,1.0,0.0,0.0,1,1,10.67065121,40.81758362,8691,10.67062905,40.81743909,18.19155224,0.121,0.52379906,0.52379906,2,11.282069,0.8556212,0.8556212,0.8556212,1.0,1,2,10.67064013,40.817511355,0.18033697,0.18033697,2,11.938516,0.9680289,0.9680289,0.983476,0.5087241,1,4,10.670666462500002,40.8175265275
35,10.70452009,40.8578321,15.88250491,0.0273,11866,10.70451142,40.8578572,17.26050491,0.0526,0.09339276,0.09339276,2,12.003116,0.9710999,0.9710999,0.9844766,0.5298403,1,2,10.704515755,40.85784465,6483,10.70444608,40.85779309,15.89750491,0.0368,0.26541248,0.26541248,2,11.835582,0.9585272,0.9585272,0.9585272,1.0,1,3,10.70449253,40.8578274633333,5693,10.70453486,40.85781985,15.78755224,0.0416,1367,10.70446194,40.85782113,15.62155224,0.0287,0.19860055,0.19860055,2,11.919731,0.9626532,0.9626532,0.9626532,1.0,1,2,10.7044984,40.85782049,933,10.70443015,40.85782358,15.67755224,0.0324,0.18616422,0.18616422,2,11.932719,0.96365106,0.96365106,0.96365106,1.0,1,3,10.70447565,40.85782152,0.050697144,0.050697144,2,12.019814,0.97334146,0.97334146,0.97334146,1.0,1,6,10.70448409,40.85782449166665
50,10.71748579,40.89177533,16.03450491,0.0228,3260,10.71743186,40.89174199,16.03450491,0.0247,0.18959413,0.18959413,2,11.929221,0.9659222,0.9659222,0.9659222,1.0,1,2,10.717458825,40.89175866,7096,10.71741832,40.89174796,16.20550491,0.0274,0.116767354,0.116767354,2,11.989781,0.9705571,0.9705571,0.9705571,1.0,1,3,10.7174453233333,40.8917550933333,4007,10.71748553,40.89180473,16.57355224,0.0444,2407,10.71745623,40.89174753,16.41455224,0.0402,0.22081913,0.22081913,2,11.894436,0.9605019,0.9605019,0.9605019,1.0,1,2,10.71747088,40.89177613,1491,10.71735162,40.89179346,16.67355224,0.0546,0.33049732,0.33049732,2,11.730307,0.94329375,0.94329375,0.94858325,0.9016652,1,3,10.7174311266667,40.8917819066667,0.103972666,0.103972666,2,11.997447,0.97197205,0.97197205,0.97197205,1.0,1,6,10.717438224999999,40.8917685
54,10.73344849,40.88060148,16.58550491,0.0363,6093,10.73339091,40.88059321,16.70450491,0.0385,0.15952803,0.15952803,2,11.957712,0.96801686,0.96801686,0.96801686,1.0,1,2,10.7334197,40.880597345,7130,10.73337294,40.88061742,16.72450491,0.0391,0.14636184,0.14636184,2,11.968644,0.969134,0.969134,0.969134,1.0,1,3,10.7334041133333,40.8806040366667,2599,10.73347654,40.88057116,17.38755224,0.0731,-99,-99.0,-99.0,-99.0,-99.0,nan,0.0,1,0.0,1.0,1.0,0.0,0.0,1,1,10.73347654,40.88057116,9573,10.73332123,40.88063778,17.96255224,0.0894,0.48602793,0.48602793,2,11.3856,0.882651,0.882651,0.882651,1.0,1,2,10.733398885,40.88060447,0.014316094,0.014316094,2,12.026234,0.97372234,0.97372234,0.97372234,1.0,1,5,10.73340149916665,40.88060425333335
71,10.59695424,40.8571817,16.66950491,0.0398,-99,-99.0,-99.0,-99.0,-99.0,nan,0.0,1,0.0,1.0,1.0,0.0,0.0,1,1,10.59695424,40.8571817,340,10.59686646,40.85718176,16.77250491,0.0505,0.2390104,0.2390104,2,11.871731,0.96171266,0.96171266,0.96171266,1.0,1,2,10.59691035,40.85718173,1222,10.59685523,40.85726412,17.65555224,0.0828,8107,10.59676364,40.85726174,18.70355224,0.1997,0.24953113,0.24953113,2,11.8577795,0.95717233,0.95717233,0.95717233,1.0,1,2,10.596809435,40.85726293,8064,10.59688534,40.85727528,18.38055224,0.1244,0.2114044,0.2114044,2,11.905481,0.96138924,0.96138924,0.96138924,1.0,1,3,10.5968347366667,40.8572670466667,0.3697601,0.3697601,2,11.655679,0.94042933,0.94042933,0.9448515,0.92143273,1,5,10.596872543333351,40.85722438833335
80,10.58493523,40.87170414,16.68050491,0.0371,1967,10.58497166,40.87164175,17.08250491,0.0841,0.24552366,0.24552366,2,11.863165,0.9605449,0.9605449,0.9605449,1.0,1,2,10.584953445,40.871672945,7341,10.58467588,40.87167473,16.93550491,0.0908,0.7556252,0.7556252,2,10.476985,0.5030187,0.5030187,0.5030187,1.0,1,3,10.5848609233333,40.87167354,11130,10.58474159,40.87183003,18.09955224,0.1321,-99,-99.0,-99.0,-99.0,-99.0,nan,0.0,1,0.0,1.0,1.0,0.0,0.0,1,1,10.58474159,40.87183003,2514,10.58481229,40.87172998,17.38255224,0.0888,0.4083763,0.4083763,2,11.574117,0.92069674,0.92069674,0.92069674,1.0,1,2,10.58477694,40.871780005,0.4462815,0.4462815,2,11.486183,0.91442436,0.91442436,0.91442436,1.0,1,5,10.58481893166665,40.8717267725
