ID,RA,Dec,total_associations,ID_36_1,RA_36_1,Dec_36_1,mag_36_1,mag_err_36_1,ID_36_3,RA_36_3,Dec_36_3,mag_36_3,mag_err_36_3,sep_36_1_3,p_any_36_1_3,p_i_36_1_3,ID_36_4,RA_36_4,Dec_36_4,mag_36_4,mag_err_36_4,sep_36_1&3_4,p_any_36_1&3_4,p_i_36_1&3_4,36_associations,ID_45_1,RA_45_1,Dec_45_1,mag_45_1,mag_err_45_1,ID_45_3,RA_45_3,Dec_45_3,mag_45_3,mag_err_45_3,sep_45_1_3,p_any_45_1_3,p_i_45_1_3,ID_45_4,RA_45_4,Dec_45_4,mag_45_4,mag_err_45_4,sep_45_1&3_4,p_any_45_1&3_4,p_i_45_1&3_4,45_associations,sep_mean_36_mean_45,p_any_36_45,p_i_36_45,mean_RA_36,mean_Dec_36,mean_RA_45,mean_Dec_45,good_source?,flux_36_1,flux_36_3,flux_36_4,flux_45_1,flux_45_3,flux_45_4,flux_err_36_1,flux_err_36_3,flux_err_36_4,flux_err_45_1,flux_err_45_3,flux_err_45_4,var_36_1_3,var_36_1_3_abs,var_36_1_4,var_36_1_4_abs,var_36_3_4,var_36_3_4_abs,var_45_1_3,var_45_1_3_abs,var_45_1_4,var_45_1_4_abs,var_45_3_4,var_45_3_4_abs,mean_mag_36,mean_mag_45,amp_36,amp_45,evolved_1,evolved_3,evolved_4,variable_1_3,variable_1_4,variable_3_4,variable_times
21,10.66236007,40.82433939,6,151,10.66244235,40.82436935,17.12750491,0.1082,794,10.66227364,40.82425796,17.54450491,0.1338,0.6099456,0.7762401,1,4313,10.66235851,40.8242666,17.54550491,0.1142,0.1694038,0.9677443,1,3,13098,10.66245291,40.82434111,17.50455224,0.2082,5810,10.66237559,40.82447126,17.85355224,0.2206,0.51370835,0.86372846,1,1934,10.6622574,40.82433003,18.26855224,0.1956,0.50767857,0.8679911,1,3,0.29836762,0.958056,1,10.66235817,40.82429797,10.66236197,40.8243808,1,0.039586743,0.026961855,0.026937034,0.017894814,0.012975592,0.008853748,0.003945052,0.003322627,0.002833293,0.003431497,0.002636382,0.00159504,2.447709719,2.447709719,2.604398871,2.604398871,0.005684336,0.005684336,1.136783047,1.136783047,2.389232127,2.389232127,1.337678263,1.337678263,17.40583824,17.87555224,0.418,0.764,0,0,0,0,1,0,1
31,10.70149725,40.85271385,6,213,10.7015443,40.85277795,16.11350491,0.0932,6708,10.70152511,40.85272536,16.07850491,0.0918,0.19640297,0.96537733,1,1166,10.70147116,40.8527344,15.72450491,0.0548,0.18384619,0.966734,1,3,6445,10.70155097,40.8526576,16.27955224,0.1478,4913,10.70148298,40.85266185,16.25155224,0.1896,0.1857692,0.9637458,1,3576,10.70140897,40.85272594,15.97355224,0.068,0.37857193,0.9307613,1,3,0.24721909,0.964531,1,10.70151352,40.8527459,10.70148097,40.8526818,1,0.100727899,0.104027887,0.14412847,0.055300261,0.056744945,0.073303917,0.00864652,0.008795654,0.007274548,0.00752796,0.009909259,0.004591047,-0.267553604,0.267553604,-3.840888374,3.840888374,-3.513237554,3.513237554,-0.11609092,0.11609092,-2.041814959,2.041814959,-1.516232091,1.516232091,15.97217158,16.16821891,0.389,0.306,0,0,0,0,1,0,1
37,10.69446488,40.90276039,6,272,10.69450768,40.90278274,16.51750491,0.0434,3019,10.69446132,40.90273223,16.65550491,0.0418,0.22130647,0.96313727,1,3048,10.69442053,40.90273682,16.49950491,0.064,0.1892915,0.96632314,1,3,4427,10.69456072,40.90279111,16.76855224,0.0632,3642,10.69444118,40.90277417,17.01855224,0.0792,0.33093092,0.9432936,1,3693,10.69439787,40.90274528,16.95355224,0.0836,0.31105658,0.9473222,1,3,0.07113293,0.9747497,1,10.69446318,40.9027506,10.69446659,40.90277019,1,0.069430417,0.061143427,0.070591072,0.035247408,0.027998011,0.029725364,0.002775334,0.002353974,0.004161074,0.002051729,0.00204234,0.002288807,2.277155214,2.277155214,-0.232051945,0.232051945,-1.976177715,1.976177715,2.504151407,2.504151407,1.79648943,1.79648943,-0.563107254,0.563107254,16.55750491,16.91355224,0.156,0.25,0,0,0,1,0,0,1
121,10.67361821,40.91223668,6,1137,10.67368094,40.91224721,17.08050491,0.1004,1060,10.67359089,40.9122471,17.23350491,0.0988,0.24498752,0.9606071,1,4595,10.67364277,40.91223301,16.73950491,0.0888,0.05422964,0.9724081,1,3,5150,10.67370596,40.91220141,17.15755224,0.1304,3511,10.67358349,40.91223231,17.47555224,0.1116,0.35126728,0.9384732,1,2182,10.67350522,40.91225904,16.97555224,0.1202,0.40878245,0.92054516,1,3,0.11639806,0.9734104,1,10.6736382,40.91224244,10.67359822,40.91223092,1,0.04133803,0.035904574,0.056591314,0.02463356,0.018379224,0.029129108,0.003822603,0.00326725,0.00462848,0.00295856,0.001889153,0.003224834,1.080502209,1.080502209,-2.540974761,2.540974761,-3.651360644,3.651360644,1.781726216,1.781726216,-1.027231577,1.027231577,-2.876269872,2.876269872,17.01783824,17.20288557,0.494,0.5,0,0,0,0,0,1,1
136,10.70619723,40.89948145,6,1317,10.70627493,40.89947105,17.13650491,0.0796,1305,10.7062431,40.89942545,17.04250491,0.0624,0.18560772,0.96622854,1,3856,10.70617552,40.89944446,16.75150491,0.0498,0.22760716,0.9629186,1,3,2530,10.7062321,40.89954907,17.27355224,0.0676,963,10.7061607,40.89949469,17.24355224,0.1114,0.2758118,0.95349216,1,5013,10.70609705,40.899504,16.93955224,0.1112,0.27789792,0.953091,1,3,0.30938727,0.9563413,1,10.70623118,40.89944699,10.70616328,40.89951592,1,0.039259953,0.042810448,0.055969287,0.022137429,0.022757638,0.030111139,0.002878316,0.002460425,0.002567171,0.001378318,0.002335006,0.003083952,-0.937645529,0.937645529,-4.332410568,4.332410568,-3.700618946,3.700618946,-0.2287361,0.2287361,-2.360519797,2.360519797,-1.901010817,1.901010817,16.97683824,17.15221891,0.385,0.334,0,0,0,0,1,0,1
160,10.64137124,40.84051839,6,1706,10.64142629,40.84052187,16.18850491,0.0396,140,10.64137335,40.84050932,16.23450491,0.0582,0.15109594,0.9685198,1,15,10.64135776,40.84050866,16.36650491,0.0622,0.117240235,0.9705373,1,3,7091,10.64141886,40.84054053,16.53455224,0.0806,3198,10.64135828,40.84050846,16.56755224,0.0458,0.20137303,0.9624033,1,554,10.64129291,40.84052149,16.76355224,0.0642,0.26075622,0.9556047,1,3,0.08740398,0.9743498,1,10.6413858,40.84051328,10.64135668,40.84052349,1,0.094004745,0.090105183,0.079790241,0.043724735,0.042415753,0.035410102,0.00342863,0.004830015,0.004571049,0.003245921,0.001789239,0.002093813,0.658351518,0.658351518,2.48765522,2.48765522,1.551101216,1.551101216,0.353168214,0.353168214,2.152572801,2.152572801,2.543656203,2.543656203,16.26317158,16.62188557,0.178,0.229,0,0,0,0,1,0,1
172,10.70744557,40.83936404,4,-99,-99,-99,-99,-99,1078,10.7074799,40.83934248,15.32050491,0.045,0.21544442,0.9637012,1,30,10.70744537,40.83935637,15.03950491,0.0386,0.16862926,0.9677954,1,2,-99,-99,-99,-99,-99,3630,10.70746626,40.8393691,15.17155224,0.0604,0.20458095,0.96210766,1,4184,10.70739075,40.83938823,14.88355224,0.0518,0.2950316,0.95027053,1,2,0.09638189,0.9865499,0.5125668,10.70746263,40.83934942,10.70742851,40.83937867,1,-99,0.20909795,0.270863057,-99,0.153435969,0.200044761,-99,0.008666385,0.0096297,-99,0.008535713,0.009544048,-99,-99,-99,-99,-4.767589889,4.767589889,-99,-99,-99,-99,-3.640120604,3.640120604,15.18000491,15.02755224,0.281,0.288,0,1,1,0,0,1,1
175,10.70502075,40.85890384,4,1859,10.70502524,40.85889653,16.14250491,0.0732,12052,10.70501369,40.85891657,17.40550491,0.095,0.07870024,0.97154015,1,-99,-99,-99,-99,-99,-99,0,0,2,954,10.70507087,40.85889311,15.92355224,0.0764,3632,10.70497319,40.85890916,16.38655224,0.0866,0.27216348,0.9540431,1,-99,-99,-99,-99,-99,-99,0,0,2,0.020707263,0.97545236,1,10.70501947,40.85890655,10.70502203,40.85890113,1,0.098073071,0.030644305,-99,0.076758624,0.050110321,-99,0.006612056,0.002681323,-99,0.005401274,0.003996877,-99,9.450371419,9.450371419,-99,-99,-99,-99,3.965943547,3.965943547,-99,-99,-99,-99,16.77400491,16.15505224,1.263,0.463,1,0,0,1,0,0,1
203,10.61898098,40.86799145,5,2291,10.61904132,40.86798069,15.47550491,0.0592,-99,-99,-99,-99,-99,-99,0,0,6797,10.61893277,40.86797268,15.71750491,0.0664,0.29691893,0.95389485,1,2,3331,10.61902853,40.86802198,15.48455224,0.0494,409,10.61897386,40.86798842,15.56755224,0.0526,0.19169705,0.963254,1,446,10.61892238,40.86800826,15.66855224,0.042,0.21484762,0.9610473,1,3,0.11132929,0.9735965,1,10.61898705,40.86797669,10.61897492,40.86800622,1,0.181279951,-99,0.145060702,0.11500777,0.106543554,0.097079422,0.009884328,-99,0.008871428,0.005232748,0.005161651,0.003755365,-99,-99,2.727014605,2.727014605,-99,-99,1.151574858,1.151574858,2.783541983,2.783541983,1.482659773,1.482659773,15.59650491,15.57355224,0.242,0.184,0,0,0,0,1,0,1
205,10.65550844,40.82582956,6,2315,10.65556834,40.82584829,15.76950491,0.0468,1742,10.65552489,40.82581022,15.74450491,0.0384,0.18108857,0.9665649,1,4289,10.65549119,40.82581169,15.97050491,0.0592,0.16369131,0.9681135,1,3,629,10.65554489,40.82584511,16.04655224,0.0852,1910,10.65549159,40.82581346,16.04955224,0.0646,0.18456465,0.9736603,0.7211385,609,10.65542973,40.8258486,16.30655224,0.0842,0.25093815,0.9569179,1,3,0.11614614,0.9859479,0.52195257,10.65552814,40.8258234,10.65548874,40.82583572,1,0.138276945,0.141497829,0.11490787,0.06853733,0.068348216,0.053942017,0.005960344,0.005004454,0.006265376,0.005378268,0.004066637,0.004183261,-0.413852284,0.413852284,2.702383185,2.702383185,3.315994996,3.315994996,0.028047474,0.028047474,2.14207856,2.14207856,2.469291995,2.469291995,15.82817158,16.13421891,0.226,0.26,0,0,0,0,1,1,2
