ID,RA,Dec,total_associations,ID_36_1,RA_36_1,Dec_36_1,mag_36_1,mag_err_36_1,ID_36_3,RA_36_3,Dec_36_3,mag_36_3,mag_err_36_3,sep_36_1_3,p_any_36_1_3,p_i_36_1_3,ID_36_4,RA_36_4,Dec_36_4,mag_36_4,mag_err_36_4,sep_36_1&3_4,p_any_36_1&3_4,p_i_36_1&3_4,36_associations,ID_45_1,RA_45_1,Dec_45_1,mag_45_1,mag_err_45_1,ID_45_3,RA_45_3,Dec_45_3,mag_45_3,mag_err_45_3,sep_45_1_3,p_any_45_1_3,p_i_45_1_3,ID_45_4,RA_45_4,Dec_45_4,mag_45_4,mag_err_45_4,sep_45_1&3_4,p_any_45_1&3_4,p_i_45_1&3_4,45_associations,sep_mean_36_mean_45,p_any_36_45,p_i_36_45
1,10.60569722,40.8625387,6,1,10.60573757,40.8624973,17.52850491,0.0556,1646,10.60563612,40.86244107,17.95750491,0.0519,0.3424452,0.94459933,1,4044,10.60565694,40.86250859,17.45050491,0.0731,0.16356307,0.9681216,1,3,8589,10.60579079,40.86263217,17.95555224,0.0851,336,10.60573609,40.86260594,18.27255224,0.1007,0.17634009,0.9644841,1,10831,10.60562582,40.86254713,18.77055224,0.118,0.4554494,0.93720776,0.6032849,3,0.42078134,0.9246369,1
2,10.62330054,40.83901153,5,7,10.62339488,40.83901281,15.82750491,0.0193,9999,9999,9999,9999,9999,9999,0,0,5103,10.62333663,40.83901595,16.16350491,0.0301,0.15905073,0.9684012,1,2,8632,10.62326363,40.83898818,17.92955224,0.1202,9338,10.62321573,40.83900647,17.75755224,0.086,0.1461339,0.9665115,1,1672,10.62322659,40.83903141,16.65355224,0.0576,0.12778029,0.9674575,1,3,0.35584998,0.9438667,1
3,10.59867917,40.87686581,5,8,10.5987445,40.87681039,16.89650491,0.0446,373,10.59869237,40.87683363,16.93250491,0.048,0.1647272,0.96768904,1,2097,10.59867896,40.87682893,16.77250491,0.0488,0.110302,0.97081816,1,3,3252,10.59870879,40.87689628,17.22155224,0.0456,9999,9999,9999,9999,9999,9999,0,0,11700,10.59859733,40.87691832,18.28955224,0.1229,0.3136,0.9468245,1,2,0.33082917,0.9492923,1
4,10.69139731,40.91349831,4,13,10.69142492,40.91351227,17.13150491,0.0513,9999,9999,9999,9999,9999,9999,0,0,1181,10.69136772,40.91347144,17.14050491,0.0522,0.21405855,0.9642311,1,2,5231,10.69147417,40.91352131,17.35855224,0.0742,9999,9999,9999,9999,9999,9999,0,0,2269,10.69132244,40.9134882,17.36655224,0.069,0.42964908,0.9121707,1,2,0.046752926,0.9734037,1
5,10.67066646,40.81752653,4,16,10.67071124,40.81756706,16.16450491,0.0166,4379,10.67067435,40.81751634,16.13750491,0.0333,0.20842546,0.96434605,1,9999,9999,9999,9999,9999,9999,0,0,2,8901,10.67065121,40.81758362,18.46355224,0.1303,9999,9999,9999,9999,9999,9999,0,0,8691,10.67062905,40.81743909,18.19155224,0.121,0.52379906,0.8556212,1,2,0.18033697,0.983476,0.5087241
6,10.70448409,40.85782449,6,35,10.70452009,40.8578321,15.88250491,0.0273,11866,10.70451142,40.8578572,17.26050491,0.0526,0.09339276,0.9844766,0.5298403,6483,10.70444608,40.85779309,15.89750491,0.0368,0.26541248,0.9585272,1,3,5693,10.70453486,40.85781985,15.78755224,0.0416,1367,10.70446194,40.85782113,15.62155224,0.0287,0.19860055,0.9626532,1,933,10.70443015,40.85782358,15.67755224,0.0324,0.18616422,0.96365106,1,3,0.050697144,0.97334146,1
7,10.71743822,40.8917685,6,50,10.71748579,40.89177533,16.03450491,0.0228,3260,10.71743186,40.89174199,16.03450491,0.0247,0.18959413,0.9659222,1,7096,10.71741832,40.89174796,16.20550491,0.0274,0.116767354,0.9705571,1,3,4007,10.71748553,40.89180473,16.57355224,0.0444,2407,10.71745623,40.89174753,16.41455224,0.0402,0.22081913,0.9605019,1,1491,10.71735162,40.89179346,16.67355224,0.0546,0.33049732,0.94858325,0.9016652,3,0.103972666,0.97197205,1
8,10.7334015,40.88060425,5,54,10.73344849,40.88060148,16.58550491,0.0363,6093,10.73339091,40.88059321,16.70450491,0.0385,0.15952803,0.96801686,1,7130,10.73337294,40.88061742,16.72450491,0.0391,0.14636184,0.969134,1,3,2599,10.73347654,40.88057116,17.38755224,0.0731,9999,9999,9999,9999,9999,9999,0,0,9573,10.73332123,40.88063778,17.96255224,0.0894,0.48602793,0.882651,1,2,0.014316094,0.97372234,1
9,10.59687254,40.85722439,5,71,10.59695424,40.8571817,16.66950491,0.0398,9999,9999,9999,9999,9999,9999,0,0,340,10.59686646,40.85718176,16.77250491,0.0505,0.2390104,0.96171266,1,2,1222,10.59685523,40.85726412,17.65555224,0.0828,8107,10.59676364,40.85726174,18.70355224,0.1997,0.24953113,0.95717233,1,8064,10.59688534,40.85727528,18.38055224,0.1244,0.2114044,0.96138924,1,3,0.3697601,0.9448515,0.92143273
10,10.58481893,40.87172677,5,80,10.58493523,40.87170414,16.68050491,0.0371,1967,10.58497166,40.87164175,17.08250491,0.0841,0.24552366,0.9605449,1,7341,10.58467588,40.87167473,16.93550491,0.0908,0.7556252,0.5030187,1,3,11130,10.58474159,40.87183003,18.09955224,0.1321,9999,9999,9999,9999,9999,9999,0,0,2514,10.58481229,40.87172998,17.38255224,0.0888,0.4083763,0.92069674,1,2,0.4462815,0.91442436,1
11,10.59954528,40.87023512,5,97,10.59956708,40.87022629,17.07950491,0.0521,52,10.59950963,40.87020033,17.03050491,0.0606,0.18219146,0.9664839,1,385,10.59950242,40.8701881,17.10650491,0.0642,0.13344114,0.9698028,1,3,8546,10.59967424,40.87019204,17.73855224,0.0982,9999,9999,9999,9999,9999,9999,0,0,9668,10.59945412,40.87033862,19.08355224,0.2384,0.7984568,0.3797967,1,2,0.24063987,0.96273655,1
12,10.60368462,40.87393029,5,107,10.60381162,40.87390934,17.47450491,0.0586,9999,9999,9999,9999,9999,9999,0,0,2119,10.60374365,40.87385629,17.33750491,0.0601,0.26590854,0.95846164,1,2,4627,10.60359974,40.87405483,18.52655224,0.1021,5221,10.60364338,40.87393078,18.23155224,0.1239,0.46211013,0.89672,1,5169,10.6035317,40.87394768,18.61255224,0.1343,0.2936408,0.95051175,1,3,0.6109613,0.7825737,1
13,10.60908117,40.87077515,4,109,10.60918823,40.87081138,17.80050491,0.0782,9999,9999,9999,9999,9999,9999,0,0,9748,10.60900332,40.87078778,17.92750491,0.1018,0.510495,0.8756484,1,2,1783,10.60901811,40.87069067,18.29555224,0.0967,9999,9999,9999,9999,9999,9999,0,0,4411,10.609115,40.87081078,19.15755224,0.2829,0.5064941,0.868849,1,2,0.19302967,0.9670994,1
14,10.63368155,40.85199995,6,110,10.63373353,40.85200578,16.55950491,0.0388,606,10.63366476,40.85193843,16.69350491,0.0397,0.30635706,0.9517776,1,383,10.63363254,40.85195641,16.64050491,0.0431,0.18996589,0.9662711,1,3,563,10.6337644,40.85204397,17.21855224,0.0561,3995,10.63367787,40.85202361,17.00855224,0.051,0.24676198,0.9575231,1,4002,10.63361621,40.85203151,17.16055224,0.0455,0.28583336,0.9518251,1,3,0.23948272,0.96286094,1
